dataset,feature_set,balancing,classifier,fold,accuracy,precision,recall,f1,auc,mcc
camel-1.0,METRICS,NONE,SVM_RBF,1,0.9705882352941176,0.0,0.0,0.0,0.7196969696969697,0.0
camel-1.0,METRICS,NONE,SVM_RBF,2,0.9558823529411765,0.0,0.0,0.0,0.7333333333333333,0.0
camel-1.0,METRICS,NONE,SVM_RBF,3,0.9411764705882353,0.0,0.0,0.0,0.7794871794871795,-0.026246206877004904
camel-1.0,METRICS,NONE,SVM_RBF,4,0.9558823529411765,0.0,0.0,0.0,0.6358974358974359,0.0
camel-1.0,METRICS,NONE,SVM_RBF,5,0.9701492537313433,0.0,0.0,0.0,0.46923076923076923,0.0
camel-1.0,METRICS,NONE,GB,1,0.9558823529411765,0.0,0.0,0.0,0.7575757575757576,-0.021266970502955673
camel-1.0,METRICS,NONE,GB,2,0.9411764705882353,0.0,0.0,0.0,0.5179487179487179,-0.026246206877004904
camel-1.0,METRICS,NONE,GB,3,0.9411764705882353,0.0,0.0,0.0,0.7025641025641025,-0.026246206877004904
camel-1.0,METRICS,NONE,GB,4,0.9558823529411765,0.0,0.0,0.0,0.6153846153846153,0.0
camel-1.0,METRICS,NONE,GB,5,0.9552238805970149,0.0,0.0,0.0,0.057692307692307654,-0.021591675854376522
camel-1.0,METRICS,SMOTE,LR,1,0.7941176470588235,0.125,1.0,0.2222222222222222,0.9696969696969697,0.3138229572304239
camel-1.0,METRICS,SMOTE,LR,2,0.7647058823529411,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.6410256410256411,0.058415347694891886
camel-1.0,METRICS,SMOTE,LR,3,0.8382352941176471,0.0,0.0,0.0,0.5948717948717949,-0.07844645405527362
camel-1.0,METRICS,SMOTE,LR,4,0.8235294117647058,0.09090909090909091,0.3333333333333333,0.14285714285714285,0.6615384615384615,0.10009605659333606
camel-1.0,METRICS,SMOTE,LR,5,0.7611940298507462,0.0,0.0,0.0,0.25384615384615383,-0.09015387587490904
camel-1.0,METRICS,SMOTE,RF,1,0.9852941176470589,1.0,0.5,0.6666666666666666,0.9242424242424242,0.7018100265975372
camel-1.0,METRICS,SMOTE,RF,2,0.9264705882352942,0.25,0.3333333333333333,0.2857142857142857,0.6076923076923076,0.25064020591380154
camel-1.0,METRICS,SMOTE,RF,3,0.9117647058823529,0.0,0.0,0.0,0.7410256410256411,-0.046153846153846156
camel-1.0,METRICS,SMOTE,RF,4,0.9705882352941176,1.0,0.3333333333333333,0.5,0.7717948717948717,0.5686678156684396
camel-1.0,METRICS,SMOTE,RF,5,0.9104477611940298,0.0,0.0,0.0,0.46153846153846156,-0.0441995696087864
camel-1.0,METRICS,SMOTE,ET,1,0.9705882352941176,0.5,0.5,0.5,0.8825757575757576,0.48484848484848486
camel-1.0,METRICS,SMOTE,ET,2,0.9264705882352942,0.25,0.3333333333333333,0.2857142857142857,0.6282051282051282,0.25064020591380154
camel-1.0,METRICS,SMOTE,ET,3,0.9264705882352942,0.0,0.0,0.0,0.7897435897435896,-0.03739787960033829
camel-1.0,METRICS,SMOTE,ET,4,0.9558823529411765,0.0,0.0,0.0,0.8282051282051281,0.0
camel-1.0,METRICS,SMOTE,ET,5,0.9253731343283582,0.0,0.0,0.0,0.36153846153846153,-0.0379777262656375
camel-1.0,METRICS,SMOTE,SVM_RBF,1,0.8970588235294118,0.14285714285714285,0.5,0.2222222222222222,0.9166666666666667,0.2274536218568652
camel-1.0,METRICS,SMOTE,SVM_RBF,2,0.8382352941176471,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.717948717948718,0.276247310054915
camel-1.0,METRICS,SMOTE,SVM_RBF,3,0.8970588235294118,0.0,0.0,0.0,0.635897435897436,-0.053708615552957466
camel-1.0,METRICS,SMOTE,SVM_RBF,4,0.9264705882352942,0.0,0.0,0.0,0.717948717948718,-0.03739787960033829
camel-1.0,METRICS,SMOTE,SVM_RBF,5,0.9253731343283582,0.0,0.0,0.0,0.49230769230769234,-0.0379777262656375
camel-1.0,METRICS,SMOTE,GB,1,0.9852941176470589,1.0,0.5,0.6666666666666666,0.9166666666666667,0.7018100265975372
camel-1.0,METRICS,SMOTE,GB,2,0.8970588235294118,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.6871794871794871,0.18564413306421376
camel-1.0,METRICS,SMOTE,GB,3,0.8823529411764706,0.0,0.0,0.0,0.5051282051282051,-0.06052275326688024
camel-1.0,METRICS,SMOTE,GB,4,0.9705882352941176,1.0,0.3333333333333333,0.5,0.764102564102564,0.5686678156684396
camel-1.0,METRICS,SMOTE,GB,5,0.9104477611940298,0.0,0.0,0.0,0.1769230769230769,-0.0441995696087864
camel-1.0,METRICS,BLSMOTE,LR,1,0.8970588235294118,0.2222222222222222,1.0,0.36363636363636365,0.9545454545454545,0.4457052822810143
camel-1.0,METRICS,BLSMOTE,LR,2,0.8529411764705882,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.6256410256410256,0.12741462797076364
camel-1.0,METRICS,BLSMOTE,LR,3,0.8676470588235294,0.0,0.0,0.0,0.6256410256410255,-0.06683188790311695
camel-1.0,METRICS,BLSMOTE,LR,4,0.8676470588235294,0.125,0.3333333333333333,0.18181818181818182,0.6820512820512821,0.14381849910133496
camel-1.0,METRICS,BLSMOTE,LR,5,0.835820895522388,0.09090909090909091,0.5,0.15384615384615385,0.6846153846153846,0.1590195358665494
camel-1.0,METRICS,BLSMOTE,RF,1,0.9852941176470589,1.0,0.5,0.6666666666666666,0.7954545454545454,0.7018100265975372
camel-1.0,METRICS,BLSMOTE,RF,2,0.9411764705882353,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.617948717948718,0.30256410256410254
camel-1.0,METRICS,BLSMOTE,RF,3,0.9411764705882353,0.0,0.0,0.0,0.7564102564102564,-0.026246206877004904
camel-1.0,METRICS,BLSMOTE,RF,4,0.9705882352941176,1.0,0.3333333333333333,0.5,0.8897435897435897,0.5686678156684396
camel-1.0,METRICS,BLSMOTE,RF,5,0.9402985074626866,0.0,0.0,0.0,0.5153846153846153,-0.03076923076923077
camel-1.0,METRICS,BLSMOTE,ET,1,0.9852941176470589,1.0,0.5,0.6666666666666666,0.8295454545454546,0.7018100265975372
camel-1.0,METRICS,BLSMOTE,ET,2,0.9411764705882353,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6282051282051282,0.30256410256410254
camel-1.0,METRICS,BLSMOTE,ET,3,0.9264705882352942,0.0,0.0,0.0,0.8025641025641025,-0.03739787960033829
camel-1.0,METRICS,BLSMOTE,ET,4,0.9558823529411765,0.0,0.0,0.0,0.846153846153846,0.0
camel-1.0,METRICS,BLSMOTE,ET,5,0.9253731343283582,0.0,0.0,0.0,0.4461538461538461,-0.0379777262656375
camel-1.0,METRICS,BLSMOTE,SVM_RBF,1,0.9264705882352942,0.2,0.5,0.2857142857142857,0.8712121212121212,0.28443677839597487
camel-1.0,METRICS,BLSMOTE,SVM_RBF,2,0.8823529411764706,0.14285714285714285,0.3333333333333333,0.2,0.6871794871794872,0.16287957023091282
camel-1.0,METRICS,BLSMOTE,SVM_RBF,3,0.8970588235294118,0.0,0.0,0.0,0.6871794871794872,-0.053708615552957466
camel-1.0,METRICS,BLSMOTE,SVM_RBF,4,0.9117647058823529,0.0,0.0,0.0,0.7487179487179487,-0.046153846153846156
camel-1.0,METRICS,BLSMOTE,SVM_RBF,5,0.9253731343283582,0.0,0.0,0.0,0.5,-0.0379777262656375
camel-1.0,METRICS,BLSMOTE,GB,1,0.9705882352941176,0.5,0.5,0.5,0.8636363636363636,0.48484848484848486
camel-1.0,METRICS,BLSMOTE,GB,2,0.9411764705882353,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5179487179487179,0.30256410256410254
camel-1.0,METRICS,BLSMOTE,GB,3,0.9264705882352942,0.0,0.0,0.0,0.5358974358974359,-0.03739787960033829
camel-1.0,METRICS,BLSMOTE,GB,4,0.9852941176470589,1.0,0.6666666666666666,0.8,0.8512820512820513,0.810287391340663
camel-1.0,METRICS,BLSMOTE,GB,5,0.9104477611940298,0.0,0.0,0.0,0.2846153846153846,-0.0441995696087864
camel-1.0,POST_TFIDF,NONE,LR,1,0.9705882352941176,0.0,0.0,0.0,0.9621212121212122,0.0
camel-1.0,POST_TFIDF,NONE,LR,2,0.9558823529411765,0.0,0.0,0.0,0.6512820512820513,0.0
camel-1.0,POST_TFIDF,NONE,LR,3,0.9558823529411765,0.0,0.0,0.0,0.7820512820512819,0.0
camel-1.0,POST_TFIDF,NONE,LR,4,0.9558823529411765,0.0,0.0,0.0,0.8871794871794871,0.0
camel-1.0,POST_TFIDF,NONE,LR,5,0.9701492537313433,0.0,0.0,0.0,0.5423076923076923,0.0
camel-1.0,POST_TFIDF,NONE,RF,1,0.9705882352941176,0.0,0.0,0.0,0.7878787878787878,0.0
camel-1.0,POST_TFIDF,NONE,RF,2,0.9411764705882353,0.0,0.0,0.0,0.6666666666666666,-0.026246206877004904
camel-1.0,POST_TFIDF,NONE,RF,3,0.9558823529411765,0.0,0.0,0.0,0.8487179487179487,0.0
camel-1.0,POST_TFIDF,NONE,RF,4,0.9558823529411765,0.0,0.0,0.0,0.8025641025641026,0.0
camel-1.0,POST_TFIDF,NONE,RF,5,0.9552238805970149,0.0,0.0,0.0,0.36153846153846153,-0.021591675854376522
camel-1.0,POST_TFIDF,NONE,ET,1,0.9705882352941176,0.0,0.0,0.0,0.8181818181818181,0.0
camel-1.0,POST_TFIDF,NONE,ET,2,0.9411764705882353,0.0,0.0,0.0,0.7615384615384616,-0.026246206877004904
camel-1.0,POST_TFIDF,NONE,ET,3,0.9558823529411765,0.0,0.0,0.0,0.8692307692307693,0.0
camel-1.0,POST_TFIDF,NONE,ET,4,0.9411764705882353,0.0,0.0,0.0,0.6615384615384614,-0.026246206877004904
camel-1.0,POST_TFIDF,NONE,ET,5,0.9552238805970149,0.0,0.0,0.0,0.3384615384615385,-0.021591675854376522
camel-1.0,POST_TFIDF,NONE,SVM_RBF,1,0.9705882352941176,0.0,0.0,0.0,0.3560606060606061,0.0
camel-1.0,POST_TFIDF,NONE,SVM_RBF,2,0.9558823529411765,0.0,0.0,0.0,0.4051282051282051,0.0
camel-1.0,POST_TFIDF,NONE,SVM_RBF,3,0.9558823529411765,0.0,0.0,0.0,0.38717948717948714,0.0
camel-1.0,POST_TFIDF,NONE,SVM_RBF,4,0.9558823529411765,0.0,0.0,0.0,0.5128205128205128,0.0
camel-1.0,POST_TFIDF,NONE,SVM_RBF,5,0.9701492537313433,0.0,0.0,0.0,0.22692307692307692,0.0
camel-1.0,POST_TFIDF,NONE,GB,1,0.9411764705882353,0.0,0.0,0.0,0.8181818181818182,-0.030303030303030304
camel-1.0,POST_TFIDF,NONE,GB,2,0.9411764705882353,0.0,0.0,0.0,0.7128205128205128,-0.026246206877004904
camel-1.0,POST_TFIDF,NONE,GB,3,0.9411764705882353,0.0,0.0,0.0,0.5717948717948718,-0.026246206877004904
camel-1.0,POST_TFIDF,NONE,GB,4,0.8970588235294118,0.0,0.0,0.0,0.48461538461538456,-0.053708615552957466
camel-1.0,POST_TFIDF,NONE,GB,5,0.9402985074626866,0.0,0.0,0.0,0.4076923076923077,-0.03076923076923077
camel-1.0,POST_TFIDF,SMOTE,LR,1,0.7352941176470589,0.1,1.0,0.18181818181818182,0.9393939393939394,0.26967994498529685
camel-1.0,POST_TFIDF,SMOTE,LR,2,0.75,0.0625,0.3333333333333333,0.10526315789473684,0.6461538461538462,0.04965363264368483
camel-1.0,POST_TFIDF,SMOTE,LR,3,0.8088235294117647,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.782051282051282,0.0883991392175728
camel-1.0,POST_TFIDF,SMOTE,LR,4,0.8382352941176471,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.8564102564102565,0.276247310054915
camel-1.0,POST_TFIDF,SMOTE,LR,5,0.7014925373134329,0.0,0.0,0.0,0.5499999999999999,-0.10631548679075012
camel-1.0,POST_TFIDF,SMOTE,RF,1,0.9705882352941176,0.0,0.0,0.0,0.9696969696969697,0.0
camel-1.0,POST_TFIDF,SMOTE,RF,2,0.9117647058823529,0.2,0.3333333333333333,0.25,0.782051282051282,0.21384706154297686
camel-1.0,POST_TFIDF,SMOTE,RF,3,0.9558823529411765,0.0,0.0,0.0,0.8692307692307693,0.0
camel-1.0,POST_TFIDF,SMOTE,RF,4,0.9264705882352942,0.0,0.0,0.0,0.8769230769230769,-0.03739787960033829
camel-1.0,POST_TFIDF,SMOTE,RF,5,0.9253731343283582,0.0,0.0,0.0,0.2615384615384615,-0.0379777262656375
camel-1.0,POST_TFIDF,SMOTE,ET,1,0.9705882352941176,0.0,0.0,0.0,0.856060606060606,0.0
camel-1.0,POST_TFIDF,SMOTE,ET,2,0.9264705882352942,0.25,0.3333333333333333,0.2857142857142857,0.7076923076923076,0.25064020591380154
camel-1.0,POST_TFIDF,SMOTE,ET,3,0.9264705882352942,0.0,0.0,0.0,0.8538461538461538,-0.03739787960033829
camel-1.0,POST_TFIDF,SMOTE,ET,4,0.9411764705882353,0.0,0.0,0.0,0.664102564102564,-0.026246206877004904
camel-1.0,POST_TFIDF,SMOTE,ET,5,0.9402985074626866,0.0,0.0,0.0,0.3384615384615385,-0.03076923076923077
camel-1.0,POST_TFIDF,SMOTE,SVM_RBF,1,0.7794117647058824,0.06666666666666667,0.5,0.11764705882352941,0.8409090909090909,0.11730406620796739
camel-1.0,POST_TFIDF,SMOTE,SVM_RBF,2,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.5948717948717948,0.06771660002444933
camel-1.0,POST_TFIDF,SMOTE,SVM_RBF,3,0.8676470588235294,0.125,0.3333333333333333,0.18181818181818182,0.7461538461538462,0.14381849910133496
camel-1.0,POST_TFIDF,SMOTE,SVM_RBF,4,0.9117647058823529,0.2857142857142857,0.6666666666666666,0.4,0.6717948717948717,0.3985351186501058
camel-1.0,POST_TFIDF,SMOTE,SVM_RBF,5,0.746268656716418,0.0,0.0,0.0,0.35,-0.09421114395319916
camel-1.0,POST_TFIDF,SMOTE,GB,1,0.9411764705882353,0.0,0.0,0.0,0.9696969696969697,-0.030303030303030304
camel-1.0,POST_TFIDF,SMOTE,GB,2,0.9117647058823529,0.2,0.3333333333333333,0.25,0.8410256410256409,0.21384706154297686
camel-1.0,POST_TFIDF,SMOTE,GB,3,0.9264705882352942,0.0,0.0,0.0,0.5615384615384615,-0.03739787960033829
camel-1.0,POST_TFIDF,SMOTE,GB,4,0.9117647058823529,0.2,0.3333333333333333,0.25,0.6205128205128204,0.21384706154297686
camel-1.0,POST_TFIDF,SMOTE,GB,5,0.8955223880597015,0.0,0.0,0.0,0.18076923076923077,-0.04981354813867179
camel-1.0,POST_TFIDF,BLSMOTE,LR,1,0.7794117647058824,0.11764705882352941,1.0,0.21052631578947367,0.9242424242424242,0.3015113445777636
camel-1.0,POST_TFIDF,BLSMOTE,LR,2,0.7941176470588235,0.07692307692307693,0.3333333333333333,0.125,0.6512820512820513,0.07766541573408058
camel-1.0,POST_TFIDF,BLSMOTE,LR,3,0.8088235294117647,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.8384615384615384,0.0883991392175728
camel-1.0,POST_TFIDF,BLSMOTE,LR,4,0.8676470588235294,0.2,0.6666666666666666,0.3076923076923077,0.9076923076923077,0.31519154772852787
camel-1.0,POST_TFIDF,BLSMOTE,LR,5,0.6865671641791045,0.0,0.0,0.0,0.5576923076923076,-0.11036071393157612
camel-1.0,POST_TFIDF,BLSMOTE,RF,1,0.9705882352941176,0.0,0.0,0.0,0.9090909090909091,0.0
camel-1.0,POST_TFIDF,BLSMOTE,RF,2,0.9411764705882353,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7333333333333334,0.30256410256410254
camel-1.0,POST_TFIDF,BLSMOTE,RF,3,0.9411764705882353,0.0,0.0,0.0,0.7974358974358975,-0.026246206877004904
camel-1.0,POST_TFIDF,BLSMOTE,RF,4,0.9264705882352942,0.0,0.0,0.0,0.882051282051282,-0.03739787960033829
camel-1.0,POST_TFIDF,BLSMOTE,RF,5,0.9253731343283582,0.0,0.0,0.0,0.22692307692307692,-0.0379777262656375
camel-1.0,POST_TFIDF,BLSMOTE,ET,1,0.9705882352941176,0.0,0.0,0.0,0.9166666666666666,0.0
camel-1.0,POST_TFIDF,BLSMOTE,ET,2,0.9411764705882353,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7282051282051282,0.30256410256410254
camel-1.0,POST_TFIDF,BLSMOTE,ET,3,0.9264705882352942,0.0,0.0,0.0,0.8871794871794871,-0.03739787960033829
camel-1.0,POST_TFIDF,BLSMOTE,ET,4,0.9411764705882353,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7153846153846153,0.30256410256410254
camel-1.0,POST_TFIDF,BLSMOTE,ET,5,0.9402985074626866,0.0,0.0,0.0,0.34615384615384615,-0.03076923076923077
camel-1.0,POST_TFIDF,BLSMOTE,SVM_RBF,1,0.8382352941176471,0.09090909090909091,0.5,0.15384615384615385,0.8409090909090909,0.15989581451584609
camel-1.0,POST_TFIDF,BLSMOTE,SVM_RBF,2,0.8382352941176471,0.1,0.3333333333333333,0.15384615384615385,0.5538461538461538,0.11299319635550999
camel-1.0,POST_TFIDF,BLSMOTE,SVM_RBF,3,0.8823529411764706,0.14285714285714285,0.3333333333333333,0.2,0.7307692307692307,0.16287957023091282
camel-1.0,POST_TFIDF,BLSMOTE,SVM_RBF,4,0.9117647058823529,0.2857142857142857,0.6666666666666666,0.4,0.717948717948718,0.3985351186501058
camel-1.0,POST_TFIDF,BLSMOTE,SVM_RBF,5,0.746268656716418,0.0,0.0,0.0,0.4346153846153846,-0.09421114395319916
camel-1.0,POST_TFIDF,BLSMOTE,GB,1,0.9705882352941176,0.0,0.0,0.0,0.8560606060606061,0.0
camel-1.0,POST_TFIDF,BLSMOTE,GB,2,0.9117647058823529,0.2,0.3333333333333333,0.25,0.6512820512820512,0.21384706154297686
camel-1.0,POST_TFIDF,BLSMOTE,GB,3,0.9411764705882353,0.0,0.0,0.0,0.48461538461538456,-0.026246206877004904
camel-1.0,POST_TFIDF,BLSMOTE,GB,4,0.9558823529411765,0.5,0.3333333333333333,0.4,0.7846153846153846,0.3864447558701623
camel-1.0,POST_TFIDF,BLSMOTE,GB,5,0.8805970149253731,0.0,0.0,0.0,0.08846153846153845,-0.05501346848732867
camel-1.0,RISK_FEATURES,NONE,LR,1,0.9705882352941176,0.0,0.0,0.0,0.8863636363636364,0.0
camel-1.0,RISK_FEATURES,NONE,LR,2,0.9558823529411765,0.0,0.0,0.0,0.7128205128205128,0.0
camel-1.0,RISK_FEATURES,NONE,LR,3,0.9558823529411765,0.0,0.0,0.0,0.4897435897435897,0.0
camel-1.0,RISK_FEATURES,NONE,LR,4,0.9558823529411765,0.0,0.0,0.0,0.823076923076923,0.0
camel-1.0,RISK_FEATURES,NONE,LR,5,0.9701492537313433,0.0,0.0,0.0,0.19615384615384615,0.0
camel-1.0,RISK_FEATURES,NONE,RF,1,0.9705882352941176,0.0,0.0,0.0,0.8712121212121212,0.0
camel-1.0,RISK_FEATURES,NONE,RF,2,0.9411764705882353,0.0,0.0,0.0,0.48717948717948717,-0.026246206877004904
camel-1.0,RISK_FEATURES,NONE,RF,3,0.9558823529411765,0.0,0.0,0.0,0.582051282051282,0.0
camel-1.0,RISK_FEATURES,NONE,RF,4,0.9558823529411765,0.0,0.0,0.0,0.7358974358974358,0.0
camel-1.0,RISK_FEATURES,NONE,RF,5,0.9701492537313433,0.0,0.0,0.0,0.2692307692307692,0.0
camel-1.0,RISK_FEATURES,NONE,ET,1,0.9705882352941176,0.0,0.0,0.0,0.8712121212121212,0.0
camel-1.0,RISK_FEATURES,NONE,ET,2,0.9411764705882353,0.0,0.0,0.0,0.4974358974358974,-0.026246206877004904
camel-1.0,RISK_FEATURES,NONE,ET,3,0.9558823529411765,0.0,0.0,0.0,0.46153846153846145,0.0
camel-1.0,RISK_FEATURES,NONE,ET,4,0.9558823529411765,0.0,0.0,0.0,0.6794871794871794,0.0
camel-1.0,RISK_FEATURES,NONE,ET,5,0.9701492537313433,0.0,0.0,0.0,0.29230769230769227,0.0
camel-1.0,RISK_FEATURES,NONE,SVM_RBF,1,0.9705882352941176,0.0,0.0,0.0,0.11363636363636365,0.0
camel-1.0,RISK_FEATURES,NONE,SVM_RBF,2,0.9558823529411765,0.0,0.0,0.0,0.5948717948717949,0.0
camel-1.0,RISK_FEATURES,NONE,SVM_RBF,3,0.9558823529411765,0.0,0.0,0.0,0.5,0.0
camel-1.0,RISK_FEATURES,NONE,SVM_RBF,4,0.9558823529411765,0.0,0.0,0.0,0.7384615384615385,0.0
camel-1.0,RISK_FEATURES,NONE,SVM_RBF,5,0.9701492537313433,0.0,0.0,0.0,0.5384615384615384,0.0
camel-1.0,RISK_FEATURES,NONE,GB,1,0.9705882352941176,0.0,0.0,0.0,0.8712121212121211,0.0
camel-1.0,RISK_FEATURES,NONE,GB,2,0.9411764705882353,0.0,0.0,0.0,0.6512820512820513,-0.026246206877004904
camel-1.0,RISK_FEATURES,NONE,GB,3,0.9558823529411765,0.0,0.0,0.0,0.3923076923076923,0.0
camel-1.0,RISK_FEATURES,NONE,GB,4,0.9558823529411765,0.0,0.0,0.0,0.7307692307692306,0.0
camel-1.0,RISK_FEATURES,NONE,GB,5,0.9701492537313433,0.0,0.0,0.0,0.3192307692307692,0.0
camel-1.0,RISK_FEATURES,SMOTE,LR,1,0.7205882352941176,0.09523809523809523,1.0,0.17391304347826086,0.8560606060606061,0.2604247834232906
camel-1.0,RISK_FEATURES,SMOTE,LR,2,0.7058823529411765,0.09523809523809523,0.6666666666666666,0.16666666666666666,0.7948717948717948,0.16639756937048814
camel-1.0,RISK_FEATURES,SMOTE,LR,3,0.6764705882352942,0.047619047619047616,0.3333333333333333,0.08333333333333333,0.5205128205128204,0.011397093792499188
camel-1.0,RISK_FEATURES,SMOTE,LR,4,0.8088235294117647,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.7153846153846153,0.2448215539345476
camel-1.0,RISK_FEATURES,SMOTE,LR,5,0.6716417910447762,0.0,0.0,0.0,0.25769230769230766,-0.11442591353812462
camel-1.0,RISK_FEATURES,SMOTE,RF,1,0.7647058823529411,0.1111111111111111,1.0,0.2,0.8863636363636362,0.29012942659282975
camel-1.0,RISK_FEATURES,SMOTE,RF,2,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.4923076923076923,0.06771660002444933
camel-1.0,RISK_FEATURES,SMOTE,RF,3,0.8529411764705882,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.7205128205128205,0.12741462797076364
camel-1.0,RISK_FEATURES,SMOTE,RF,4,0.8529411764705882,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.6820512820512821,0.29456839511753186
camel-1.0,RISK_FEATURES,SMOTE,RF,5,0.7164179104477612,0.0,0.0,0.0,0.2846153846153846,-0.10228166239135175
camel-1.0,RISK_FEATURES,SMOTE,ET,1,0.7794117647058824,0.11764705882352941,1.0,0.21052631578947367,0.8863636363636364,0.3015113445777636
camel-1.0,RISK_FEATURES,SMOTE,ET,2,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.4974358974358974,0.06771660002444933
camel-1.0,RISK_FEATURES,SMOTE,ET,3,0.8382352941176471,0.1,0.3333333333333333,0.15384615384615385,0.5307692307692308,0.11299319635550999
camel-1.0,RISK_FEATURES,SMOTE,ET,4,0.8529411764705882,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.6897435897435897,0.29456839511753186
camel-1.0,RISK_FEATURES,SMOTE,ET,5,0.7164179104477612,0.0,0.0,0.0,0.29230769230769227,-0.10228166239135175
camel-1.0,RISK_FEATURES,SMOTE,SVM_RBF,1,0.75,0.10526315789473684,1.0,0.19047619047619047,0.8863636363636364,0.2795530723408051
camel-1.0,RISK_FEATURES,SMOTE,SVM_RBF,2,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.5333333333333332,0.06771660002444933
camel-1.0,RISK_FEATURES,SMOTE,SVM_RBF,3,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.4897435897435897,0.06771660002444933
camel-1.0,RISK_FEATURES,SMOTE,SVM_RBF,4,0.8382352941176471,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.6692307692307692,0.276247310054915
camel-1.0,RISK_FEATURES,SMOTE,SVM_RBF,5,0.6716417910447762,0.0,0.0,0.0,0.28076923076923077,-0.11442591353812462
camel-1.0,RISK_FEATURES,SMOTE,GB,1,0.7794117647058824,0.11764705882352941,1.0,0.21052631578947367,0.8863636363636364,0.3015113445777636
camel-1.0,RISK_FEATURES,SMOTE,GB,2,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.5384615384615385,0.06771660002444933
camel-1.0,RISK_FEATURES,SMOTE,GB,3,0.8529411764705882,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.4641025641025641,0.12741462797076364
camel-1.0,RISK_FEATURES,SMOTE,GB,4,0.8529411764705882,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.741025641025641,0.29456839511753186
camel-1.0,RISK_FEATURES,SMOTE,GB,5,0.7014925373134329,0.0,0.0,0.0,0.32307692307692304,-0.10631548679075012
camel-1.0,RISK_FEATURES,BLSMOTE,LR,1,0.7205882352941176,0.09523809523809523,1.0,0.17391304347826086,0.8712121212121212,0.2604247834232906
camel-1.0,RISK_FEATURES,BLSMOTE,LR,2,0.7647058823529411,0.11764705882352941,0.6666666666666666,0.2,0.7025641025641025,0.20672455764868075
camel-1.0,RISK_FEATURES,BLSMOTE,LR,3,0.8088235294117647,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.7051282051282051,0.0883991392175728
camel-1.0,RISK_FEATURES,BLSMOTE,LR,4,0.8382352941176471,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.823076923076923,0.276247310054915
camel-1.0,RISK_FEATURES,BLSMOTE,LR,5,0.6716417910447762,0.0,0.0,0.0,0.28076923076923077,-0.11442591353812462
camel-1.0,RISK_FEATURES,BLSMOTE,RF,1,0.7647058823529411,0.1111111111111111,1.0,0.2,0.8863636363636362,0.29012942659282975
camel-1.0,RISK_FEATURES,BLSMOTE,RF,2,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.47692307692307684,0.06771660002444933
camel-1.0,RISK_FEATURES,BLSMOTE,RF,3,0.8529411764705882,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.6076923076923078,0.12741462797076364
camel-1.0,RISK_FEATURES,BLSMOTE,RF,4,0.8529411764705882,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.6846153846153845,0.29456839511753186
camel-1.0,RISK_FEATURES,BLSMOTE,RF,5,0.7014925373134329,0.0,0.0,0.0,0.2846153846153846,-0.10631548679075012
camel-1.0,RISK_FEATURES,BLSMOTE,ET,1,0.7794117647058824,0.11764705882352941,1.0,0.21052631578947367,0.8863636363636364,0.3015113445777636
camel-1.0,RISK_FEATURES,BLSMOTE,ET,2,0.7794117647058824,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.4974358974358974,0.06771660002444933
camel-1.0,RISK_FEATURES,BLSMOTE,ET,3,0.8529411764705882,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.46153846153846145,0.12741462797076364
camel-1.0,RISK_FEATURES,BLSMOTE,ET,4,0.8529411764705882,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.6897435897435897,0.29456839511753186
camel-1.0,RISK_FEATURES,BLSMOTE,ET,5,0.7164179104477612,0.0,0.0,0.0,0.29230769230769227,-0.10228166239135175
