dataset,feature_set,balancing,classifier,accuracy,precision,recall,f1,auc,mcc
velocity-1.5,METRICS_RISK,SMOTE,RF,0.7897009966777409,0.822986945674327,0.8729064039408867,0.8453645412967447,0.8248604269293924,0.5244875696413254
velocity-1.5,METRICS_POST_TFIDF_RISK_SELECTED,NONE,SVM_RBF,0.7756367663344408,0.7864377091986716,0.9155172413793103,0.8437674925599362,0.7768414262256627,0.48370470674813965
xalan-2.4,METRICS,BLSMOTE,ET,0.84227969348659,0.4784566896587357,0.43636363636363634,0.455023865023865,0.8073749288163523,0.3646332388203632
xalan-2.4,METRICS_POST_TFIDF_RISK,BLSMOTE,RF,0.8353831417624521,0.452619330560507,0.4545454545454545,0.4483631656563987,0.7892473313704821,0.35556888358740546
xalan-2.4,METRICS_POST_TFIDF_RISK_SELECTED,SMOTE,LR,0.7509865900383141,0.3362243094480634,0.6818181818181819,0.4479600858911204,0.7767583875540692,0.3457394811059929
xalan-2.4,METRICS_POST_TFIDF_RISK,BLSMOTE,LR,0.7689942528735633,0.35031926406926406,0.6272727272727273,0.447304690530497,0.7803975379545152,0.33952688480863263
xalan-2.4,RISK_FEATURES,SMOTE,GB,0.7537643678160919,0.33758312497602583,0.6454545454545454,0.44111927642736004,0.7174711933408455,0.3313839282334647
xerces-1.2,METRICS_RISK,BLSMOTE,GB,0.8136363636363637,0.43916666666666665,0.5514285714285714,0.47719298245614034,0.8213327515382309,0.37899261357712793
xerces-1.2,METRICS,BLSMOTE,GB,0.8045454545454545,0.43082431634861307,0.5514285714285714,0.47616092519318326,0.7916525625429734,0.36924895429184473
xerces-1.2,METRICS_RISK,SMOTE,GB,0.8136363636363637,0.4259048691246834,0.5523809523809524,0.4751631016042781,0.8108102819061724,0.3732432950498831
xerces-1.2,METRICS,SMOTE,GB,0.8068181818181819,0.4133843700159489,0.5523809523809524,0.46384459984459986,0.808523650852418,0.36202685925193123
xerces-1.2,METRICS,SMOTE,RF,0.8045454545454545,0.43038850038850035,0.49333333333333335,0.4533251062662827,0.7922860139983428,0.34161080435732327
