feature_set,balancing,classifier,accuracy,precision,recall,f1,auc,mcc
METRICS_POST_TFIDF_RISK_SELECTED,SMOTE,ET,0.7957273078829645,0.5130710409029188,0.49414377113106694,0.49074942230387947,0.7450309052078466,0.32414466883250326
METRICS_POST_TFIDF_RISK,SMOTE,RF,0.7978334230818754,0.4982044721576647,0.5023037688264549,0.49045874919129484,0.7783099845039064,0.3222087839519844
RISK_FEATURES,BLSMOTE,LR,0.680576190609864,0.44729388420954597,0.6690771940300071,0.48940456213783695,0.7108019999760691,0.30325023544122887
METRICS_POST_TFIDF_RISK,SMOTE,GB,0.7866970933984728,0.49952008503494255,0.5041698446743819,0.489288684090524,0.7577692024606594,0.3206292438542628
METRICS_POST_TFIDF_RISK,BLSMOTE,GB,0.7907753479154356,0.4821924297253017,0.5117353257752533,0.4885250896471644,0.7446983977711642,0.3210244856986719
METRICS_POST_TFIDF_RISK,BLSMOTE,LR,0.7422669835732042,0.47393607706396457,0.5551786886233347,0.4884537911076235,0.7482233918543011,0.30649592413829796
METRICS_RISK,BLSMOTE,SVM_RBF,0.7620377651370126,0.4826689713317537,0.5323767647960025,0.4861893865089882,0.7546586042985258,0.3196148669463412
RISK_FEATURES,BLSMOTE,RF,0.70769959395381,0.44960154830524823,0.6152521690852,0.48494941120821905,0.6971287004358091,0.29507015862893826
RISK_FEATURES,BLSMOTE,GB,0.7047801781014129,0.44798980809120204,0.6192413086006553,0.48441158397160505,0.7008045316565378,0.29416267621288916
METRICS,BLSMOTE,SVM_RBF,0.748833284227088,0.47057711137719016,0.551245315483065,0.48280904380561346,0.7594675455631686,0.3052320601704223
METRICS,NONE,ET,0.810931352743556,0.5720225365456095,0.45360727314629307,0.48265428358696305,0.7753837114928818,0.33914745223110615
METRICS_POST_TFIDF_RISK_SELECTED,SMOTE,GB,0.7802220951429918,0.48629295322639793,0.4902841403404017,0.48065060506921425,0.7384746841655913,0.3029439529467288
METRICS_RISK,BLSMOTE,LR,0.7320293229942212,0.4664757730871415,0.5527502167121042,0.47974723631901534,0.7460798572824995,0.2941522501332195
RISK_FEATURES,BLSMOTE,ET,0.707523340385879,0.4516060780792733,0.6006648674978983,0.47961778723181253,0.695573377993203,0.29181992499263243
RISK_FEATURES,BLSMOTE,SVM_RBF,0.6799594518166221,0.4485961307346379,0.6503014301689437,0.47960246801388456,0.6882720629070507,0.3006452288817447
METRICS,NONE,LR,0.81594912878936,0.6027949180415891,0.4452006321970024,0.4755612967885824,0.7527004975049476,0.3398012656859748
METRICS_RISK,NONE,ET,0.8116096303910554,0.5381167743463134,0.4589873665354609,0.4754021106809562,0.759695050837887,0.32785347276815996
METRICS_POST_TFIDF_RISK_SELECTED,BLSMOTE,GB,0.7731522568804412,0.4725508456336376,0.4932898363987293,0.473912211718449,0.7361685371974079,0.292729339681617
METRICS_RISK,NONE,GB,0.8020512591077106,0.5196830998378986,0.44537330787784507,0.46657105171929153,0.7554514156520916,0.30894021591711524
